"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10"
"QUER.MAC",9,8,3,5,6,0,5,0,0,0
"QUER.VEL",8,9,8,7,0,0,0,0,0,0
"CARY.OVA",6,6,2,7,0,2,0,0,0,0
"PRUN.SER",3,5,6,6,6,4,5,0,4,1
"QUER.ALB",5,4,9,9,7,7,4,6,0,2
"JUGL.NIG",2,0,0,0,3,5,6,4,3,0
"QUER.RUB",3,4,0,6,9,8,7,6,4,3
"JUGL.CIN",0,0,5,0,2,0,0,2,0,2
"ULMU.AME",2,2,4,5,6,0,5,0,2,5
"TILI.AME",0,0,0,0,2,7,6,6,7,6
"ULMU.RUB",4,0,2,2,5,7,8,8,8,7
"CARY.COR",0,0,0,0,0,5,6,4,0,3
"OSTR.VIR",0,0,0,0,0,0,7,4,6,5
"ACER.SAC",0,0,0,0,0,5,4,8,8,9